"cve_ent_mun","fecha","confirmados","decesos","pruebas","indice_vulnerabilidad"
"20171","30/06/2020",3,1,6,"vulnerabilidad alta"
"20172","30/06/2020",0,0,1,"vulnerabilidad alta"
"20173","30/06/2020",0,0,0,"vulnerabilidad baja"
"20174","30/06/2020",18,1,29,"vulnerabilidad alta"
"20175","30/06/2020",2,1,4,"vulnerabilidad media"
"20176","30/06/2020",1,1,1,"vulnerabilidad alta"
"20177","30/06/2020",22,2,76,"vulnerabilidad media"
"20178","30/06/2020",18,2,26,"vulnerabilidad alta"
"20179","30/06/2020",0,0,0,"vulnerabilidad media"
"20180","30/06/2020",1,0,1,"vulnerabilidad baja"
"20181","30/06/2020",0,0,0,"vulnerabilidad alta"
"20182","30/06/2020",0,0,0,"vulnerabilidad alta"
"20183","30/06/2020",0,0,0,"vulnerabilidad media"
"20184","30/06/2020",556,97,1057,"vulnerabilidad alta"
"20185","30/06/2020",1,0,4,"vulnerabilidad baja"
"20186","30/06/2020",0,0,0,"vulnerabilidad baja"
"20187","30/06/2020",0,0,0,"vulnerabilidad alta"
"20188","30/06/2020",2,0,4,"vulnerabilidad media"
"20189","30/06/2020",1,0,1,"vulnerabilidad media"
"20190","30/06/2020",17,2,25,"vulnerabilidad alta"
"20191","30/06/2020",0,0,0,"vulnerabilidad media"
"20192","30/06/2020",3,1,7,"vulnerabilidad media"
"20193","30/06/2020",3,0,7,"vulnerabilidad alta"
"20194","30/06/2020",0,0,0,"vulnerabilidad baja"
"20195","30/06/2020",0,0,0,"vulnerabilidad media"
"20196","30/06/2020",0,0,0,"vulnerabilidad baja"
"20197","30/06/2020",1,0,3,"vulnerabilidad alta"
"20198","30/06/2020",0,0,4,"vulnerabilidad media"
"20199","30/06/2020",0,0,0,"vulnerabilidad media"
"20200","30/06/2020",1,0,1,"vulnerabilidad media"
"20201","30/06/2020",0,0,0,"vulnerabilidad baja"
"20202","30/06/2020",0,0,0,"vulnerabilidad media"
"20203","30/06/2020",0,0,1,"vulnerabilidad media"
"20204","30/06/2020",0,0,0,"vulnerabilidad media"
"20205","30/06/2020",0,0,1,"vulnerabilidad media"
"20206","30/06/2020",3,0,7,"vulnerabilidad media"
"20207","30/06/2020",0,0,1,"vulnerabilidad media"
"20208","30/06/2020",0,0,0,"vulnerabilidad alta"
"20209","30/06/2020",0,0,0,"vulnerabilidad media"
"20210","30/06/2020",0,0,0,"vulnerabilidad media"
"20211","30/06/2020",0,0,1,"vulnerabilidad media"
"20212","30/06/2020",0,0,0,"vulnerabilidad media"
"20213","30/06/2020",0,0,1,"vulnerabilidad media"
"20214","30/06/2020",0,0,0,"vulnerabilidad baja"
"20215","30/06/2020",0,0,1,"vulnerabilidad baja"
"20216","30/06/2020",0,0,1,"vulnerabilidad media"
"20217","30/06/2020",0,0,1,"vulnerabilidad media"
"20218","30/06/2020",0,0,0,"vulnerabilidad media"
"20219","30/06/2020",0,0,1,"vulnerabilidad media"
"20220","30/06/2020",0,0,0,"vulnerabilidad media"
"20221","30/06/2020",1,0,1,"vulnerabilidad alta"
"20222","30/06/2020",0,0,0,"vulnerabilidad media"
"20223","30/06/2020",0,0,0,"sin vulnerabilidad"
"20224","30/06/2020",1,0,2,"vulnerabilidad media"
"20225","30/06/2020",0,0,1,"vulnerabilidad media"
"20226","30/06/2020",0,0,1,"vulnerabilidad media"
"20227","30/06/2020",54,1,92,"vulnerabilidad alta"
"20228","30/06/2020",0,0,0,"vulnerabilidad media"
"20229","30/06/2020",1,0,11,"vulnerabilidad media"
"20230","30/06/2020",2,0,9,"vulnerabilidad baja"
"20231","30/06/2020",1,0,1,"vulnerabilidad media"
"20232","30/06/2020",10,3,20,"vulnerabilidad media"
"20233","30/06/2020",0,0,0,"vulnerabilidad alta"
"20234","30/06/2020",0,0,1,"vulnerabilidad media"
"20235","30/06/2020",0,0,0,"vulnerabilidad media"
"20236","30/06/2020",0,0,0,"vulnerabilidad alta"
"20237","30/06/2020",1,0,2,"vulnerabilidad alta"
"20238","30/06/2020",0,0,0,"vulnerabilidad media"
"20239","30/06/2020",0,0,0,"vulnerabilidad alta"
"20240","30/06/2020",0,0,0,"vulnerabilidad media"
"20241","30/06/2020",0,0,0,"vulnerabilidad alta"
"20242","30/06/2020",0,0,0,"vulnerabilidad alta"
"20243","30/06/2020",0,0,2,"vulnerabilidad media"
"20244","30/06/2020",3,0,4,"vulnerabilidad media"
"20245","30/06/2020",0,0,0,"vulnerabilidad media"
"20246","30/06/2020",0,0,0,"vulnerabilidad alta"
"20247","30/06/2020",1,0,1,"vulnerabilidad baja"
"20248","30/06/2020",0,0,1,"vulnerabilidad media"
"20249","30/06/2020",1,0,1,"vulnerabilidad alta"
"20250","30/06/2020",0,0,0,"vulnerabilidad media"
"20251","30/06/2020",0,0,0,"vulnerabilidad baja"
"20252","30/06/2020",0,0,0,"vulnerabilidad media"
"20253","30/06/2020",0,0,0,"vulnerabilidad media"
"20254","30/06/2020",2,0,3,"vulnerabilidad alta"
"20255","30/06/2020",0,0,1,"vulnerabilidad media"
"20256","30/06/2020",4,0,4,"sin vulnerabilidad"
"20257","30/06/2020",0,0,0,"vulnerabilidad media"
"20258","30/06/2020",0,0,0,"vulnerabilidad alta"
"20259","30/06/2020",0,0,0,"vulnerabilidad media"
"20260","30/06/2020",0,0,0,"vulnerabilidad baja"
"20261","30/06/2020",0,0,1,"vulnerabilidad media"
"20262","30/06/2020",0,0,1,"vulnerabilidad alta"
"20263","30/06/2020",0,0,0,"vulnerabilidad media"
"20264","30/06/2020",0,0,0,"vulnerabilidad media"
"20265","30/06/2020",0,0,2,"vulnerabilidad media"
"20266","30/06/2020",2,0,5,"vulnerabilidad baja"
"20267","30/06/2020",0,0,0,"vulnerabilidad baja"
"20268","30/06/2020",2,0,3,"vulnerabilidad media"
"20269","30/06/2020",3,0,5,"vulnerabilidad media"
"20270","30/06/2020",1,1,2,"vulnerabilidad media"
"20271","30/06/2020",0,0,0,"vulnerabilidad media"
"20272","30/06/2020",0,0,1,"vulnerabilidad alta"
"20273","30/06/2020",0,0,0,"vulnerabilidad media"
"20274","30/06/2020",0,0,0,"vulnerabilidad media"
"20275","30/06/2020",0,0,1,"vulnerabilidad media"
"20276","30/06/2020",0,0,0,"vulnerabilidad alta"
"20277","30/06/2020",5,0,11,"vulnerabilidad media"
"20278","30/06/2020",8,2,23,"vulnerabilidad media"
"20279","30/06/2020",0,0,0,"vulnerabilidad alta"
"20280","30/06/2020",0,0,0,"vulnerabilidad baja"
"20281","30/06/2020",0,0,0,"vulnerabilidad baja"
"20282","30/06/2020",0,0,0,"vulnerabilidad media"
"20283","30/06/2020",1,1,1,"vulnerabilidad baja"
"20284","30/06/2020",0,0,0,"vulnerabilidad alta"
"20285","30/06/2020",0,0,0,"vulnerabilidad alta"
"20286","30/06/2020",3,1,6,"vulnerabilidad alta"
"20287","30/06/2020",1,0,1,"vulnerabilidad baja"
"20288","30/06/2020",0,0,0,"vulnerabilidad media"
"20289","30/06/2020",3,0,3,"vulnerabilidad media"
"20290","30/06/2020",0,0,1,"vulnerabilidad baja"
"20291","30/06/2020",0,0,1,"vulnerabilidad media"
"20292","30/06/2020",1,1,3,"vulnerabilidad media"
"20293","30/06/2020",56,3,99,"vulnerabilidad alta"
"20294","30/06/2020",10,3,18,"vulnerabilidad alta"
"20295","30/06/2020",10,1,15,"vulnerabilidad baja"
"20296","30/06/2020",0,0,0,"vulnerabilidad baja"
"20297","30/06/2020",0,0,1,"vulnerabilidad media"
"20298","30/06/2020",3,1,5,"vulnerabilidad alta"
"20299","30/06/2020",1,1,1,"vulnerabilidad baja"
"20300","30/06/2020",2,0,2,"vulnerabilidad media"
"20301","30/06/2020",0,0,1,"vulnerabilidad baja"
"20302","30/06/2020",1,0,3,"vulnerabilidad media"
"20303","30/06/2020",1,0,1,"vulnerabilidad media"
"20304","30/06/2020",1,0,2,"vulnerabilidad media"
"20305","30/06/2020",2,0,2,"sin vulnerabilidad"
"20306","30/06/2020",0,0,0,"vulnerabilidad alta"
"20307","30/06/2020",4,1,6,"vulnerabilidad media"
"20308","30/06/2020",2,0,3,"vulnerabilidad baja"
"20309","30/06/2020",3,1,5,"vulnerabilidad media"
"20310","30/06/2020",31,2,44,"vulnerabilidad muy alta"
"20311","30/06/2020",0,0,0,"vulnerabilidad media"
"20312","30/06/2020",0,0,0,"vulnerabilidad alta"
"20313","30/06/2020",0,0,0,"vulnerabilidad media"
"20314","30/06/2020",0,0,0,"vulnerabilidad baja"
"20315","30/06/2020",5,0,6,"vulnerabilidad alta"
"20316","30/06/2020",0,0,0,"vulnerabilidad media"
"20317","30/06/2020",0,0,0,"vulnerabilidad alta"
"20318","30/06/2020",51,2,90,"vulnerabilidad baja"
"20319","30/06/2020",0,0,1,"vulnerabilidad baja"
"20320","30/06/2020",1,1,1,"vulnerabilidad alta"
"20321","30/06/2020",0,0,0,"vulnerabilidad baja"
"20322","30/06/2020",0,0,0,"vulnerabilidad media"
"20323","30/06/2020",1,0,1,"vulnerabilidad media"
"20324","30/06/2020",15,2,34,"vulnerabilidad media"
"20325","30/06/2020",1,1,3,"vulnerabilidad media"
"20326","30/06/2020",0,0,1,"vulnerabilidad media"
"20327","30/06/2020",8,1,11,"vulnerabilidad baja"
"20328","30/06/2020",0,0,0,"vulnerabilidad media"
"20329","30/06/2020",0,0,0,"vulnerabilidad media"
"20330","30/06/2020",0,0,0,"vulnerabilidad media"
"20331","30/06/2020",0,0,0,"vulnerabilidad media"
"20332","30/06/2020",0,0,0,"vulnerabilidad media"
